GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08
Id,Id2,Geography,Total:,1-person household,2-person household,3-person household,4-person household,5-person household,6-person household,7-or-more person household
1500000US510010000000,510010000000,"Block Group 0, Census Tract 0, Accomack County, Virginia",0,0,0,0,0,0,0,0
1500000US510019901001,510019901001,"Block Group 1, Census Tract 9901, Accomack County, Virginia",504,184,195,69,37,15,3,1
1500000US510019901002,510019901002,"Block Group 2, Census Tract 9901, Accomack County, Virginia",598,215,218,97,46,18,2,2
1500000US510019901003,510019901003,"Block Group 3, Census Tract 9901, Accomack County, Virginia",451,133,185,76,42,12,2,1
1500000US510019901004,510019901004,"Block Group 4, Census Tract 9901, Accomack County, Virginia",515,168,234,59,39,13,1,1
1500000US510019902001,510019902001,"Block Group 1, Census Tract 9902, Accomack County, Virginia",2095,523,649,365,339,130,37,52
1500000US510019902002,510019902002,"Block Group 2, Census Tract 9902, Accomack County, Virginia",375,103,98,75,57,23,14,5
1500000US510019902003,510019902003,"Block Group 3, Census Tract 9902, Accomack County, Virginia",893,221,318,164,114,54,14,8
1500000US510019903001,510019903001,"Block Group 1, Census Tract 9903, Accomack County, Virginia",348,76,121,70,45,12,13,11
1500000US510019903002,510019903002,"Block Group 2, Census Tract 9903, Accomack County, Virginia",382,97,162,53,49,11,5,5
1500000US510019903003,510019903003,"Block Group 3, Census Tract 9903, Accomack County, Virginia",413,104,147,62,60,21,12,7
1500000US510019904001,510019904001,"Block Group 1, Census Tract 9904, Accomack County, Virginia",334,69,80,74,53,36,12,10
1500000US510019904002,510019904002,"Block Group 2, Census Tract 9904, Accomack County, Virginia",519,140,163,93,76,23,16,8
1500000US510019904003,510019904003,"Block Group 3, Census Tract 9904, Accomack County, Virginia",633,140,192,113,94,49,21,24
1500000US510019904004,510019904004,"Block Group 4, Census Tract 9904, Accomack County, Virginia",567,152,188,87,73,35,22,10
1500000US510019905001,510019905001,"Block Group 1, Census Tract 9905, Accomack County, Virginia",273,83,89,61,24,11,1,4
1500000US510019905002,510019905002,"Block Group 2, Census Tract 9905, Accomack County, Virginia",526,161,176,93,60,21,11,4
1500000US510019905003,510019905003,"Block Group 3, Census Tract 9905, Accomack County, Virginia",345,103,101,57,53,15,6,10
1500000US510019906001,510019906001,"Block Group 1, Census Tract 9906, Accomack County, Virginia",281,69,86,73,35,15,3,0
1500000US510019906002,510019906002,"Block Group 2, Census Tract 9906, Accomack County, Virginia",520,161,198,87,52,18,3,1
1500000US510019906003,510019906003,"Block Group 3, Census Tract 9906, Accomack County, Virginia",652,250,204,96,64,23,8,7
1500000US510019906004,510019906004,"Block Group 4, Census Tract 9906, Accomack County, Virginia",533,139,209,87,67,25,4,2
1500000US510019907001,510019907001,"Block Group 1, Census Tract 9907, Accomack County, Virginia",462,130,161,82,54,20,10,5
1500000US510019907002,510019907002,"Block Group 2, Census Tract 9907, Accomack County, Virginia",313,79,105,63,45,12,7,2
1500000US510019907003,510019907003,"Block Group 3, Census Tract 9907, Accomack County, Virginia",271,58,86,59,31,24,7,6
1500000US510019907004,510019907004,"Block Group 4, Census Tract 9907, Accomack County, Virginia",421,92,165,76,62,17,4,5
1500000US510019907005,510019907005,"Block Group 5, Census Tract 9907, Accomack County, Virginia",556,139,219,82,82,21,8,5
1500000US510019908001,510019908001,"Block Group 1, Census Tract 9908, Accomack County, Virginia",424,128,160,63,45,18,6,4
